locatiepunt,straat1909,nr1909,tvg1909,buurt1876,straat1876,steeg1876,nr1876,tvg1876,buurt1853,nr1853,tvg1853,concat1853,sectie1832,perceelnr1832,tvg1832,concat1832
78,Oudezijds Voorburgswal,10,,M,Oudezijds Voorburgswal,,10,,M,295,,M295,G,532,,G532
79,Oudezijds Voorburgswal,12,,M,Oudezijds Voorburgswal,,12,,M,296,,M296,G,533,,G533
80,Oudezijds Voorburgswal,14,,M,Oudezijds Voorburgswal,,14,,M,297,,M297,G,534,,G534
81,,,,,,,,,,,,,G,4332,,G4332
82,Oudezijds Armsteeg,33,,M,Oudezijds Armsteeg,,33,,M,298,,M298,G,535,,G535
83,Oudezijds Armsteeg,31,,M,Oudezijds Armsteeg,,31,,M,299,,M299,G,536,,G536
84,Oudezijds Armsteeg,29,,M,Oudezijds Armsteeg,,29,,M,900,,M900,G,537,,G537
85,Oudezijds Armsteeg,29,,M,Oudezijds Armsteeg,,29,,M,301,,M301,G,538,,G538
86,Oudezijds Armsteeg,27,,M,Oudezijds Armsteeg,,27,,M,288,,M288,,,,
87,Oudezijds Armsteeg,13,,M,Oudezijds Armsteeg,,13,,M,308,,M308,G,545,,G545
88,Oudezijds Armsteeg,15,,M,Oudezijds Armsteeg,,15,,M,307,,M307,G,544,,G544
89,Oudezijds Armsteeg,17,,M,Oudezijds Armsteeg,,17,,M,306,,M306,G,543,,G543
90,Oudezijds Armsteeg,11,,M,Oudezijds Armsteeg,,11,,M,309,,M309,G,546,,G546
91,Oudezijds Armsteeg,9,,M,Oudezijds Armsteeg,,9,,M,310,,M310,G,547,,G547
92,Oudezijds Armsteeg,7,,M,Oudezijds Armsteeg,,7,,M,311,,M311,G,548,,G548
93,Oudezijds Armsteeg,5,,M,Oudezijds Armsteeg,,5,,M,312,,M312,G,549,,G549
94,Oudezijds Armsteeg,3,,M,Oudezijds Armsteeg,,3,,M,313,,M313,G,550,,G550
95,Oudezijds Armsteeg,1,,M,Oudezijds Armsteeg,,1,,M,314,,M314,G,551,,G551
96,Warmoesstraat,23,,M,Warmoesstraat,,23,,M,410,,M410,G,511,,G511
97,Oudezijds Armsteeg,19,,M,Oudezijds Armsteeg,,19,,M,905,,M905,G,542,,G542
99,Warmoesstraat,21,,M,Warmoesstraat,,21,,M,411,,M411,G,512,,G512
100,Warmoesstraat,19,,M,Warmoesstraat,,19,,M,412,,M412,G,513,,G513
101,Warmoesstraat,17,,M,Warmoesstraat,,17,,M,413,,M413,G,514,,G514
102,Warmoesstraat,15,,M,Warmoesstraat,,15,,M,414,,M414,G,515,,G515
103,Warmoesstraat,13,,M,Warmoesstraat,,13,,M,415,,M415,G,516,,G516
104,Warmoesstraat,11,,M,Warmoesstraat,,11,,M,416,,M416,G,517,,G517
105,Wijngaardstraatje,2,,M,Wijngaardstraatje,,2,,M,283,,M283,G,517,,G517
106,Wijngaardstraatje,4,,M,Wijngaardstraatje,,4,,,,,,G,518,,G518
5986,Wijngaardstraatje,6,,M,Wijngaardstraatje,,6,,,,,,G,519,,G519
107,Wijngaardstraatje,8,,M,Wijngaardstraatje,,8,,M,284,,M284,G,520,,G520
109,Wijngaardstraatje,10,,M,Wijngaardstraatje,,10,,M,285,,M285,G,522,,G522
110,Wijngaardstraatje,12,,M,Wijngaardstraatje,,12,,M,286,,M286,G,523,,G523
111,,,,M,Wijngaardstraatje,,12,,M,286,,M286,G,524,,G524
112,Wijngaardstraatje,12,a,M,Wijngaardstraatje,,12,,M,287,,M287,G,525,,G525
113,Wijngaardstraatje,14,,M,Wijngaardstraatje,,14,,M,289,,M289,G,526,,G526
114,Wijngaardstraatje,16,,M,Wijngaardstraatje,,16,,M,290,,M290,G,527,,G527
115,Wijngaardstraatje,10,,M,Wijngaardstraatje,,10,,M,285,,M285,G,522,,G522
116,Oudezijds Armsteeg,25,,M,Oudezijds Armsteeg,,25,,M,302,,M302,G,539,,G539
117,Oudezijds Armsteeg,23,,M,Oudezijds Armsteeg,,23,,M,303,,M303,G,540,,G540
118,,,,,,,,,M,302,,M302,G,521,,G521
5987,Oudezijds Armsteeg,21,,M,Oudezijds Armsteeg,,21,,M,304,,M304,G,541,,G541
119,Enge Kapelsteeg,18,,M,Enge Kapelsteeg,,18,,M,276,,M276,G,503,,G503
120,Enge Kapelsteeg,16,,M,Enge Kapelsteeg,,16,,M,275,,M275,G,502,,G502
121,Wijngaardstraatje,13,,M,Wijngaardstraatje,,13,,M,276,a,M276a,G,504,,G504
122,Wijngaardstraatje,11,,M,Wijngaardstraatje,,11,,M,277,,M277,G,505,,G505
123,Wijngaardstraatje,9,,M,Wijngaardstraatje,,9,,M,278,,M278,G,506,,G506
124,Wijngaardstraatje,7,,M,Wijngaardstraatje,,7,,M,279,,M279,G,507,,G507
125,Wijngaardstraatje,5,,M,Wijngaardstraatje,,5,,M,280,,M280,G,508,,G508
126,Wijngaardstraatje,3,,M,Wijngaardstraatje,,3,,M,281,,M281,G,509,,G509
127,Wijngaardstraatje,1,,M,Wijngaardstraatje,,1,,M,282,,M282,G,510,,G510
128,Warmoesstraat,9,,M,Warmoesstraat,,9,,M,417,,M417,G,490,,G490
129,Warmoesstraat,7,,M,Warmoesstraat,,7,,M,418,,M418,G,491,,G491
130,Warmoesstraat,5,,M,Warmoesstraat,,5,,M,419,,M419,G,492,,G492
131,Warmoesstraat,3,,M,Warmoesstraat,,3,,M,420,,M420,G,493,,G493
132,Warmoesstraat,1,,M,Warmoesstraat,,1,,M,421,,M421,G,494,,G494
133,Enge Kapelsteeg,2,,M,Enge Kapelsteeg,,2,,M,268,,M268,G,495,,G495
134,Enge Kapelsteeg,4,,M,Enge Kapelsteeg,,4,,M,269,,M269,G,496,,G496
135,Enge Kapelsteeg,6,,M,Enge Kapelsteeg,,6,,M,270,,M270,G,497,,G497
136,Enge Kapelsteeg,8,,M,Enge Kapelsteeg,,8,,M,271,,M271,G,498,,G498
137,Enge Kapelsteeg,10,,M,Enge Kapelsteeg,,10,,M,272,,M272,G,499,,G499
138,Enge Kapelsteeg,12,,M,Enge Kapelsteeg,,12,,M,273,,M273,G,500,,G500
139,Enge Kapelsteeg,14,,M,Enge Kapelsteeg,,14,,M,274,,M274,G,501,,G501
140,Nieuwe Brugsteeg,13,,M,Nieuwe Brugsteeg,,13,,M,428,,M428,G,394,,G394
141,Nieuwe Brugsteeg,11,,M,Nieuwe Brugsteeg,,11,,M,429,,M429,G,396,,G396
142,Nieuwe Brugsteeg,9,,M,Nieuwe Brugsteeg,,9,,M,430,,M430,G,397,,G397
143,Nieuwe Brugsteeg,7,,M,Nieuwe Brugsteeg,,7,,M,431,,M431,G,398,,G398
144,Nieuwe Brugsteeg,5,,M,Nieuwe Brugsteeg,,5,,M,432,,M432,G,399,,G399
145,Nieuwe Brugsteeg,3,,M,Nieuwe Brugsteeg,,3,,M,433,,M433,G,400,,G400
146,Nieuwe Brugsteeg,1,,M,Nieuwe Brugsteeg,,1,,M,434,,M434,G,401,,G401
147,Prins Hendrikkade,50,,M,Kampersteiger,,1,,M,171,,M171,G,384,,G384
148,Prins Hendrikkade,49,,M,Kampersteiger,,2,,M,172,,M172,G,385,,G385
149,Prins Hendrikkade,51,,M,Kampersteiger,,3,,M,173,,M173,G,386,,G386
150,Zeedijk,52,,M,Kampersteiger,,4,,M,174,,M174,G,387,,G387
151,Zeedijk,53,,M,Kampersteiger,,5,,M,175,,M175,G,388,,G388
152,Zeedijk,54,,M,Kampersteiger,,6,,M,176,,M176,G,389,,G389
153,Zeedijk,55,,M,Kampersteiger,,7,,M,177,,M177,G,390,,G390
154,Zeedijk,56,,M,Kampersteiger,,8,,M,178,,M178,G,391,,G391
155,Zeedijk,56,,M,Kampersteiger,,8,,M,173,,M173,G,391,,G391
156,Zeedijk,57,,M,Kampersteiger,,9,,M,180,,M180,G,392,,G392
